ADDRESS,STREET_NAME,POSTCODE,SALE_PRICE,HOUSE_TYPE,FREEHOLD/LEASEHOLD,RES_NEW/OLD,SALE_DATE,BEDROOMS,STATIONDIST_MILES
10 Lord Chancellor Walk, ,KT2 7HG,1050000,Detached, Freehold, Residential,01-Dec-18,5,0.7
16 Clevedon Road, ,KT1 3AD,905000,Detached, Freehold, Residential,01-Dec-18,5,0.2
14 Albion Road, ,KT2 7BZ,1225000,Detached, Freehold, Residential,01-Dec-18,4,0.5
55 Cobham Road, ,KT1 3AE,910000,Detached, Freehold, Residential,01-Nov-18,4,0.1
4a Grove Lane, ,KT1 2SU,855000,Detached, Freehold, Residential,01-Nov-18,3,0.7
40 Burton Road, ,KT2 5TF,1250000,Detached, Freehold, Residential,01-Nov-18,5,0.5
12 Brook Gardens, ,KT2 7ET,1900000,Detached, Freehold, Residential,01-Nov-18,4,0.4
10 Chesham Road, ,KT1 3AQ,626500,Detached, Freehold, Residential,01-Nov-18,2,0.2
Wildcroft Coombe Park, ,KT2 7JB,5575000,Detached, Freehold, Residential,01-Oct-18,7,1.3
63 Canbury Avenue, ,KT2 6JR,1000000,Detached, Freehold, Residential,01-Oct-18,4,0.4
46 Kings Road, ,KT2 5HS,720000,Detached, Freehold, Residential,01-Oct-18,,
8 Parkgate Close, ,KT2 7LU,820000,Detached, Freehold, Residential,01-Oct-18,4,0.8
Silverwood House George Road, ,KT2 7NR,4350000,Detached, Freehold, Residential,01-Oct-18,5,0.6
3 Manston Grove, ,KT2 5GF,1013000,Detached, Freehold, Residential,01-Oct-18,4,1
2 Brough Close, ,KT2 5DB,654000,Detached, Freehold, Residential,01-Oct-18,,
36 Upper Park Road, ,KT2 5LD,1250000,Detached, Freehold, Residential,01-Oct-18,2,0.7
30 Seymour Road, ,KT1 4HW,1360000,Detached, Freehold, Residential,01-Oct-18,6,0.1
28 Tangmere Grove, ,KT2 5GT,735000,Detached, Freehold, Residential,01-Sep-18,4,1
7 Wolverton Avenue, ,KT2 7QF,1350000,Detached, Freehold, Residential,01-Sep-18,5,0.1
9 Dutch Gardens, ,KT2 7TT,1025000,Detached, Freehold, Residential,01-Sep-18,5,0.6
13 Coombe Rise, ,KT2 7EX,1900000,Detached, Freehold, Residential,01-Sep-18,4,0.4
41 Homersham Road, ,KT1 3PL,905000,Detached, Freehold, Residential,01-Sep-18,4,0.1
35 Willoughby Road, ,KT2 6LN,800000,Detached, Freehold, Residential,01-Sep-18,3,0.4
