Address,Postcode,KT1/KT2,Sale_price,Bedrooms,House_type,Freehold/leasehold,Res_new/old,Stationdist_miles,Sale_date,Sale_year,Sale_month,Latitude,Longitude,Easting,Northing,Ward,Introduced,Altitude
"Flat 40, Elder House, 4, Water Lane",KT1 1AE,KT1,435000,2,Flat,Leasehold,Residential,0.4,05-Oct-15,2015,10,51.412605,-0.30735500000000004,517812,169535,Grove,02-2011,9
"Flat 50, Elder House, 4, Water Lane",KT1 1AE,KT1,1295000,4,Flat,Leasehold,Residential,0.4,05-Feb-16,2016,2,51.412605,-0.30735500000000004,517812,169535,Grove,02-2011,9
"Flat 35, Elder House, 4, Water Lane",KT1 1AE,KT1,550000,2,Flat,Leasehold,Residential,0.4,19-Oct-17,2017,10,51.412605,-0.30735500000000004,517812,169535,Grove,02-2011,9
"Flat 47, Elder House, 4, Water Lane",KT1 1AE,KT1,550000,5,Flat,Leasehold,Residential,0.4,20-Apr-18,2018,4,51.412605,-0.30735500000000004,517812,169535,Grove,02-2011,9
"Flat 1, Elder House, 4, Water Lane",KT1 1AE,KT1,143750,2,Flat,Leasehold,Residential,0.4,06-Oct-16,2016,10,51.412605,-0.30735500000000004,517812,169535,Grove,02-2011,9
"Flat 42, Elder House, 4, Water Lane",KT1 1AE,KT1,765000,4,Flat,Leasehold,Residential,0.4,20-Sep-16,2016,9,51.412605,-0.30735500000000004,517812,169535,Grove,02-2011,9
"Flat 93, Garricks House, Wadbrook Street",KT1 1AZ,KT1,515000,2,Flat,Leasehold,Residential,0.4,27-Apr-18,2018,4,51.408764,-0.307856,517787,169107,Grove,12-2001,11
"Flat 100, Garricks House, Wadbrook Street",KT1 1AZ,KT1,515000,2,Flat,Leasehold,Residential,0.4,23-Aug-18,2018,8,51.408764,-0.307856,517787,169107,Grove,12-2001,11
"Flat 110, Garricks House, Wadbrook Street",KT1 1AZ,KT1,800000,2,Flat,Leasehold,Residential,0.4,03-Apr-14,2014,4,51.408764,-0.307856,517787,169107,Grove,12-2001,11
"Flat 105, Garricks House, Wadbrook Street",KT1 1AZ,KT1,635000,2,Flat,Leasehold,Residential,0.4,21-Mar-16,2016,3,51.408764,-0.307856,517787,169107,Grove,12-2001,11
"Flat 95, Garricks House, Wadbrook Street",KT1 1AZ,KT1,580000,2,Flat,Leasehold,Residential,0.4,22-Apr-14,2014,4,51.408764,-0.307856,517787,169107,Grove,12-2001,11
"Flat 2, 14a, Eden Street",KT1 1BB,KT1,225000,5,Flat,Leasehold,Residential,0.4,20-Nov-17,2017,11,51.408876,-0.30568,517938,169123,Grove,01-1980,12
"Flat 4, 14a, Eden Street",KT1 1BB,KT1,215000,1,Flat,Leasehold,Residential,0.4,04-Sep-14,2014,9,51.408876,-0.30568,517938,169123,Grove,01-1980,12
"Flat 1, 2, High Street",KT1 1EY,KT1,390000,2,Flat,Leasehold,Residential,0.4,08-Jun-16,2016,6,51.408811,-0.306797,517861,169114,Grove,01-1980,12
"Flat 1-3, 10, High Street",KT1 1EY,KT1,425000,2,Flat,Leasehold,Residential,0.4,07-Jun-16,2016,6,51.408811,-0.306797,517861,169114,Grove,01-1980,12
"Flat 2, 10, High Street",KT1 1EY,KT1,280000,2,Flat,Leasehold,Residential,0.4,01-Dec-16,2016,12,51.408811,-0.306797,517861,169114,Grove,01-1980,12
"Flat 1, 10, High Street",KT1 1EY,KT1,300000,1,Flat,Leasehold,Residential,0.4,18-Nov-16,2016,11,51.408811,-0.306797,517861,169114,Grove,01-1980,12
